,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
8:00 AM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
9:00 AM,,Study,Study,Study,Study,Study,
10:00 AM,,Study,Study,Study,Study,Study,
11:00 AM,,Study,Study,Study,Study,Study,
12:00 PM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
1:00 PM,,Study,Study,Study,Study,Study,
2:00 PM,,Art,Art,Art,Art,Art,
3:00 PM,,Portfolio,Portfolio,Portfolio,Portfolio,Portfolio,
4:00 PM,,Portfolio,Portfolio,Portfolio,Portfolio,Portfolio,
5:00 PM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
6:00 PM,,Work Out,Work Out,Work Out,Work Out,Work Out,
7:00 PM,,Work Out,Work Out,Work Out,Work Out,Work Out,
8:00 PM,,Break,Break,Break,Break,Break,
9:00 PM,,Art,Art,Art,Art,Art,
10:00 PM,,Break,Break,Break,Break,Break,
11:00 PM,,Break,Break,Break,Break,Break,
12:00 AM,,,,,,,
1:00 AM,,,,,,,
2:00 AM,,,,,,,
3:00 AM,,,,,,,
4:00 AM,,,,,,,
5:00 AM,,,,,,,
6:00 AM,,,,,,,
7:00 AM,,,,,,,
