,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
7:00 AM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
8:00 AM,Work Out,Work Out,Work Out,Work Out,Work Out,Work Out,Work Out
9:00 AM,Work Out,Work Out,Work Out,Work Out,Work Out,Work Out,Work Out
10:00 AM,?,Art Study,Art Study,Art Study,Art Study,Art Study,?
11:00 AM,,Art Study,Art Study,Art Study,Art Study,Art Study,
12:00 PM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
1:00 PM,,Study,Study,Study,Study,Study,
2:00 PM,,Study,Study,Study,Study,Study,
3:00 PM,,Art,Art,Art,Art,Art,
4:00 PM,,Portfolio,Portfolio,Portfolio,Portfolio,Portfolio,
5:00 PM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
6:00 PM,,Portfolio,Portfolio,Portfolio,Portfolio,Portfolio,
7:00 PM,,Art,Art,Art,Art,Art,
8:00 PM,,Break,Break,Break,Break,Break,
9:00 PM,,Break,Break,Break,Break,Break,
10:00 PM,,Break,Break,Break,Break,Break,
11:00 PM,,,,,,,
12:00 AM,,,,,,,
1:00 AM,,,,,,,
2:00 AM,,,,,,,
3:00 AM,,,,,,,
4:00 AM,,,,,,,
5:00 AM,,,,,,,
6:00 AM,,,,,,,
