,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
7:00 AM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
8:00 AM,,Work,Work,Work,Work,Work,
9:00 AM,,Work,Work,Work,Work,Work,
10:00 AM,,Work,Work,Work,Work,Work,
11:00 AM,,Work,Work,Work,Work,Work,
12:00 PM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
1:00 PM,,Work,Work,Work,Work,Work,
2:00 PM,,Work,Work,Work,Work,Work,
2:32 PM,,Work,Work,Work,Work,Work,
2:33 PM,,Work,Work,Work,Work,Work,
3:00 PM,,Work,Work,Work,Work,Work,
4:00 PM,,Work,Work,Work,Work,Work,
5:00 PM,Eat,Eat,Eat,Eat,Eat,Eat,Eat
5:32 PM,,Art 1,Art 1,Art 1,Art 1,Art 1,
5:33 PM,,Art 2,Art 2,Art 2,Art 2,Art 2,
6:00 PM,,Work Out,Work Out,Work Out,Work Out,Work Out,
7:00 PM,,Work Out,Work Out,Work Out,Work Out,Work Out,
8:00 PM,,Break,Break,Break,Break,Break,
9:00 PM,,Break,Break,Break,Break,Break,
10:00 PM,,Break,Break,Break,Break,Break,
11:00 PM,,Break,Break,Break,Break,Break,
12:00 AM,,,,,,,
1:00 AM,,,,,,,
2:00 AM,,,,,,,
3:00 AM,,,,,,,
4:00 AM,,,,,,,
5:00 AM,,,,,,,
6:00 AM,,,,,,,
